Id Empresa,Nombre Empresa,Pais,Fundacion,Industria,Empleados,Ingresos Anuales(USD MM),Gastos Anuales(USD MM)
437-52-2505,Podcat,Chile,2006,Medicina,38,$12964.98,$2703.58
223-49-1516,Trudeo,Argentina,2011,Comunicaciones,193,$14066.33,$2193.38
518-26-5251,Zoozzy,,2005,Tecnologia,95,$11592.28,$1502.95
683-67-8595,Twimbo,Chile,2005,Energia,236,$9272.88,$3447.83
172-74-4745,Devpoint,Colombia,2006,Finanzas,191,$14005.22,$2015.00
235-56-3997,Youbridge,Argentina,2013,Otros,29,$13264.37,$1624.71
175-08-8503,Quatz,Argentina,2002,Otros,156,$7722.64,$3241.87
662-63-0728,Meevee,Colombia,2008,Medicina,119,$18372.13,$3267.34
123-81-8029,Realpoint,,2014,Finanzas,211,$15860.02,$2960.27
499-52-3103,Flashset,Argentina,2014,Comunicaciones,61,$16444.57,$3873.18
660-53-9466,Quimm,Bolivia,2002,Tecnologia,21,$18057.65,$1068.04
594-78-5486,Yozio,Colombia,2003,Energia,138,$16016.18,$1744.24
670-75-2906,Jazzy,,2004,Tecnologia,224,$13334.50,$2384.02
427-59-4260,Topicblab,Colombia,2008,Tecnologia,180,$9869.56,$1151.70
244-17-8329,Dabtype,Argentina,2013,Comunicaciones,32,$8561.58,$2770.38
335-63-1658,Pixoboo,Argentina,2008,Comunicaciones,268,$6834.00,$1738.75
891-62-4472,Katz,Colombia,2007,Construccion,100,$6878.25,$1683.44
783-66-2501,Wikizz,Chile,2004,Otros,247,$19419.99,$1732.59
175-35-2409,Bubblemix,Argentina,2015,Construccion,263,$5355.80,$3038.69
204-96-2504,Jayo,Argentina,2007,Medicina,221,$18936.93,$2923.26
334-67-9758,Avavee,Bolivia,2002,,164,$7462.89,$2768.21
814-10-1912,Voonyx,Colombia,2001,Comercio,203,$5812.87,$2454.02
725-36-0995,Aimbo,,2005,Otros,182,$19167.96,$3795.50
691-52-1155,Wikivu,Uruguay,2013,Comercio,132,$19826.67,$2645.28
163-52-8214,Jabberbean,Colombia,2009,Finanzas,151,$18990.08,$2302.94
487-89-3113,Photobean,Argentina,2001,Otros,233,$14699.13,$2709.43
341-01-6712,Izio,Colombia,2004,Finanzas,33,$7788.94,$1828.96
420-38-9137,Wordify,Chile,2015,Finanzas,26,$7954.60,$1389.25
655-83-1438,Kanoodle,Chile,2009,,99,$5411.78,$3133.27
454-12-6977,Vitz,Colombia,2014,Energia,239,$6854.95,$3722.32
391-82-6345,Leexo,Argentina,2001,Finanzas,171,$9723.22,$3844.71
818-90-8249,Voomm,Chile,2007,Energia,271,$19596.85,$2344.67
,Jaxnation,,2001,Comercio,96,$18169.21,$1939.16
432-89-2215,Dabfeed,Colombia,2015,Otros,75,$14385.77,$3765.87
323-18-2594,Wordware,Argentina,2008,Tecnologia,281,$5464.39,$2625.37
640-17-3786,Kare,Argentina,2011,Comunicaciones,191,$12592.07,$1177.35
166-73-5239,Avamba,,2015,Comunicaciones,50,$5361.81,$2329.17
118-92-5683,Pixope,Colombia,2014,Medicina,284,$6494.58,$3945.33
735-40-1221,Topiclounge,Argentina,2013,Comercio,45,$8139.87,$3722.07
231-90-9531,Ozu,Bolivia,2013,Transporte,299,$19270.89,$1312.98
372-16-9406,Digitube,Argentina,2006,Transporte,28,$9201.23,$2127.64
452-04-1169,Jabbersphere,Chile,2003,Medicina,209,$6830.07,$1813.77
396-20-0788,Photobug,Argentina,2013,Comercio,149,$6879.88,$1819.73
520-85-0408,Wordify,Colombia,2003,Energia,193,$18319.11,$1332.08
232-09-0280,Divavu,Uruguay,2003,Finanzas,56,$14538.76,$1544.60
446-86-8186,Oyoba,,2014,Entretenimiento,267,$15758.76,$1313.40
278-51-1326,Oodoo,Colombia,2003,Medicina,89,$17073.36,$3866.80
570-86-9544,Realbuzz,Colombia,2011,Transporte,79,$5676.50,$1016.24
821-64-7361,Camido,Colombia,2009,Entretenimiento,38,$14351.18,$3317.00
462-61-0076,Edgetag,Argentina,2003,Tecnologia,107,$19639.63,$2219.37
726-15-9411,Skidoo,Colombia,2006,Comunicaciones,196,$18857.66,$3978.11
478-10-1422,Shuffletag,Chile,2003,Tecnologia,218,$5628.57,$3738.76
720-46-9499,Izio,Colombia,2013,Medicina,104,$13126.07,$1189.38
,Thoughtsphere,,2003,Finanzas,118,$12287.65,$3620.29
697-64-4976,Babbleset,Colombia,2012,Otros,289,$6230.84,$1215.34
605-20-0440,Browsezoom,Uruguay,2010,Medicina,206,$10851.27,$2742.32
251-05-3463,Ntags,Bolivia,2011,Construccion,71,$7509.60,$1706.76
830-29-4861,Voomm,Uruguay,2006,Finanzas,151,$13810.92,$1731.43
587-83-0861,Gabcube,Colombia,2006,Energia,120,$15526.99,$3203.75
,Youopia,,2006,Finanzas,131,$9288.01,$2367.71
221-30-6647,Skimia,Argentina,2011,Construccion,108,$12978.91,$2604.54
764-84-0912,Yambee,Argentina,2012,Medicina,182,$17425.59,$3180.06
365-08-2241,Aivee,Argentina,2008,Otros,251,$19182.23,$1108.33
702-40-6305,Oyoloo,,2008,Finanzas,122,$5369.53,$2758.66
211-94-5383,Quinu,Argentina,2010,Transporte,255,$15239.98,$3887.58
170-04-9753,Aimbo,Chile,2001,Comunicaciones,255,$15036.42,$1207.65
840-94-2684,Edgetag,Argentina,2004,Tecnologia,244,$7176.34,$1927.54
176-52-3819,Rhybox,Argentina,2012,Transporte,167,$19023.09,$2487.24
122-49-8155,Livetube,Uruguay,2008,Comunicaciones,18,$7595.32,$3621.49
860-02-7398,Rhyloo,Colombia,2012,Entretenimiento,164,$6795.50,$2860.47
390-55-3321,Dabfeed,Argentina,2014,Otros,104,$6988.02,$2287.44
500-71-7500,Gabspot,Argentina,2003,Comunicaciones,20,$18931.66,$2008.55
694-90-3179,Quinu,Argentina,2003,,73,$17061.53,$1114.62
620-78-0851,Demizz,Argentina,2006,Entretenimiento,194,$8617.36,$3520.70
188-63-8509,Jabbersphere,Colombia,2006,Energia,33,$5355.26,$1343.27
790-19-0297,Photobean,Colombia,2012,Comunicaciones,244,$13247.29,$1786.09
798-53-1892,Eimbee,,2014,Otros,121,$6780.20,$2635.88
849-45-8924,DabZ,Colombia,2001,Otros,248,$9237.06,$3216.52
761-68-9104,Muxo,Colombia,2006,Tecnologia,100,$14534.55,$3181.73
713-27-5636,Quimba,Chile,2003,Medicina,284,$17184.22,$2263.51
237-23-1687,Browsetype,Argentina,2011,Energia,85,$13433.96,$3152.42
338-66-0041,Jabbersphere,Colombia,2012,Tecnologia,71,$15478.03,$1234.39
,Babblestorm,,2003,Otros,190,$9874.00,$2073.64
381-12-4276,Twitterwire,Uruguay,2009,Comercio,179,$18776.67,$3074.73
371-47-0181,Meetz,Argentina,2001,Tecnologia,141,$6423.09,$1501.38
485-07-6727,Kwideo,Colombia,2012,Comunicaciones,129,$17520.89,$1599.10
