Id Empresa,Nombre Empresa,Pais,Fundacion,Industria,Empleados,Ingresos Anuales(USD MM),Gastos Anuales(USD MM)
764-93-0632,Thoughtworks,Colombia,2010,Tecnologia,32,$17602.35,$1728.96
541-55-0562,Kwilith,Chile,2011,Finanzas,217,$19864.47,$2779.76
487-20-5001,Jatri,Colombia,2015,Tecnologia,55,$16280.19,$2468.36
647-48-8495,Skyvu,Argentina,2014,Entretenimiento,151,$14931.04,$1393.18
177-26-6568,Browsecat,Argentina,2002,Comercio,253,$14582.35,$3317.63
112-83-9834,Voonte,Argentina,2001,Comercio,139,$8237.36,$3562.01
779-95-7932,Devcast,Colombia,2004,,232,$17043.56,$1542.10
758-62-1816,Yoveo,Colombia,2010,,122,$13661.72,$2619.92
469-21-4158,Agivu,Colombia,2012,Entretenimiento,83,$14284.68,$3591.73
822-17-6877,Flipstorm,Argentina,2007,Medicina,281,$8332.03,$2684.54
883-65-7980,Skibox,Colombia,2007,Transporte,38,$9288.87,$2622.46
625-99-0297,Avamm,Argentina,2004,Entretenimiento,148,$14126.58,$2602.94
803-30-1282,Topicblab,Argentina,2005,Entretenimiento,161,$15824.37,$1876.12
445-72-1499,Topicshots,Argentina,2010,Transporte,82,$13149.15,$2834.95
830-61-3898,Edgeblab,Argentina,2002,Comunicaciones,127,$11366.65,$1294.00
104-40-1468,Vitz,Uruguay,2014,Tecnologia,209,$11713.05,$1280.87
,Mymm,,2010,Comunicaciones,117,$16338.25,$1104.84
763-78-3534,Roombo,Argentina,2005,Finanzas,239,$13122.92,$3204.42
847-01-0753,Oozz,Bolivia,2007,Medicina,28,$11003.74,$3009.61
122-68-4925,Kwinu,Uruguay,2002,Energia,285,$16235.20,$3342.46
865-32-8627,Skyba,Argentina,2009,,198,$11698.22,$2077.50
602-10-8297,Quaxo,Argentina,2003,Construccion,116,$8900.53,$1314.94
616-85-0905,Eadel,Argentina,2008,Tecnologia,269,$19454.75,$1932.83
292-12-9710,Bubblemix,Uruguay,2002,Energia,233,$5480.97,$3310.95
464-59-6121,Tekfly,Argentina,2009,Otros,170,$9633.55,$2706.02
382-44-2720,Fliptune,Colombia,2006,Finanzas,111,$19500.36,$3521.86
541-61-8595,Skaboo,Colombia,2011,Otros,38,$19725.16,$3633.37
284-07-9495,Topicshots,Chile,2007,Energia,64,$19960.31,$1447.84
153-02-9138,Minyx,Colombia,2006,Entretenimiento,70,$17768.94,$2329.20
642-86-3626,Yoveo,Colombia,2005,Transporte,234,$5699.13,$3923.48
670-39-7948,Babbleopia,Colombia,2013,Medicina,193,$12944.46,$3243.59
595-76-0216,Blogtags,Colombia,2010,,286,$17654.14,$1935.28
518-36-0564,Shuffletag,Argentina,2002,Comunicaciones,74,$11892.47,$2802.51
671-95-9925,Livetube,Bolivia,2007,Comercio,276,$15916.11,$2881.18
474-67-6421,Jabbercube,Argentina,2012,Comunicaciones,249,$6342.58,$3974.26
652-39-2060,Dazzlesphere,Colombia,2004,Entretenimiento,163,$15048.49,$3361.20
654-25-9413,Kazio,Argentina,2013,Construccion,56,$16952.48,$3228.76
767-43-4336,Twitterbeat,Argentina,2008,Entretenimiento,145,$5394.36,$1923.16
582-60-2491,Quatz,Argentina,2002,,142,$18617.78,$3819.89
613-30-6546,Agivu,Colombia,2006,Transporte,273,$18905.57,$1983.59
745-36-1377,Wordware,Argentina,2010,Construccion,189,$5714.18,$2866.35
538-32-0244,Zoombeat,Bolivia,2007,Tecnologia,286,$18666.13,$2360.89
199-48-4082,Kimia,Colombia,2005,Entretenimiento,144,$13868.47,$2316.07
108-16-2330,Feedfish,Colombia,2013,Comunicaciones,55,$5963.16,$2474.31
730-51-3368,Dynabox,Colombia,2003,Medicina,41,$7639.66,$3085.93
624-23-4632,Kwinu,Colombia,2014,Comunicaciones,206,$11847.59,$1056.39
674-59-8051,InnoZ,Bolivia,2003,Finanzas,76,$10449.74,$1812.70
547-29-7434,Feedbug,Argentina,2007,Otros,240,$14060.96,$2737.90
378-06-5405,Photobug,Uruguay,2006,Comunicaciones,19,$5810.17,$1786.27
240-05-0584,Wordify,Colombia,2013,Medicina,192,$16628.47,$1705.71
764-14-3675,Yodel,Bolivia,2012,Finanzas,191,$10105.71,$2328.97
309-02-2114,Fivespan,Colombia,2004,Otros,234,$15347.80,$1561.03
