Id Empresa,Nombre Empresa,Pais,Fundacion,Industria,Empleados,Ingresos Anuales(USD MM),Gastos Anuales(USD MM)
836-64-8737,Buzzdog,Argentina,2005,Medicina,125,$13706.22,$1809.82
462-16-2783,Ailane,Argentina,2003,Tecnologia,22,$17981.17,$3249.36
505-46-5436,Mydo,Colombia,2010,Finanzas,227,$12227.05,$2867.74
366-66-8958,Meezzy,Colombia,2008,Transporte,17,$14827.28,$3146.71
502-48-7186,,Colombia,2010,Entretenimiento,54,$5947.02,$3519.72
569-80-0814,Mynte,Argentina,2004,Construccion,125,$6059.04,$2690.61
672-90-9292,Avaveo,Bolivia,2010,Construccion,241,$14482.19,$1866.73
498-26-7715,Fatz,Uruguay,2015,Entretenimiento,295,$7131.09,$2312.87
585-52-4279,Tagopia,Argentina,2008,Comercio,41,$6046.13,$2112.79
827-91-6319,Jayo,Chile,2013,Comercio,51,$13477.92,$3630.57
855-30-6152,Roombo,Colombia,2006,Otros,141,$18635.22,$3580.80
732-27-6798,Blogpad,Argentina,2006,Tecnologia,282,$17271.97,$3157.97
256-58-8844,Meevee,Argentina,2004,Comercio,117,$15198.18,$2998.82
523-36-5507,Nlounge,Chile,2015,Energia,199,$7047.95,$2192.21
796-53-3909,Brainsphere,Argentina,2010,Construccion,266,$14624.44,$2942.44
895-13-1727,Flashpoint,Argentina,2003,Entretenimiento,27,$18759.76,$2451.44
276-48-8073,Wikivu,Argentina,2005,Otros,187,$11489.61,$2166.82
833-46-8403,Rhynyx,Argentina,2003,Construccion,152,$19093.49,$2845.31
362-28-8258,Babbleset,Argentina,2004,Finanzas,36,$17175.68,$2910.07
290-03-6146,Quatz,Argentina,2004,Transporte,165,$17116.86,$1338.37
162-67-7799,Geba,Argentina,2005,Entretenimiento,215,$17427.30,$1872.36
,Skyvu,,2005,Transporte,17,$19149.42,$3185.24
482-24-2845,Oozz,Argentina,2013,Comercio,288,$17669.89,$2364.25
753-63-3459,Yakijo,Colombia,2010,Finanzas,239,$14875.55,$1676.23
129-49-1674,Nlounge,Colombia,2007,Transporte,58,$17130.18,$3846.92
142-10-3624,Browsezoom,Argentina,2004,Comunicaciones,85,$13853.56,$2621.39
548-97-0646,JumpXS,Argentina,2003,Comunicaciones,270,$14547.58,$3581.76
164-18-2942,Topicware,Colombia,2008,Medicina,288,$19110.30,$1239.06
645-72-1145,Mycat,Argentina,2015,Medicina,293,$19590.16,$3127.44
158-15-1055,Blogspan,Argentina,2003,Construccion,194,$11950.08,$2865.92
282-84-8477,Eazzy,Argentina,2007,Transporte,101,$18965.18,$2154.90
888-41-3534,Vimbo,Chile,2012,Comercio,90,$18408.81,$1542.23
388-88-2866,Feedspan,Chile,2012,Medicina,237,$14117.80,$2378.04
308-03-0331,Brightdog,Colombia,2015,Otros,208,$14436.00,$2341.17
523-29-3240,Kimia,Argentina,2003,,84,$19171.50,$1017.11
652-85-8512,Meezzy,Colombia,2011,Finanzas,183,$12841.21,$1992.03
889-98-6013,Youspan,Colombia,2014,Comunicaciones,97,$19635.14,$2202.72
843-65-5195,Kimia,Argentina,2005,Entretenimiento,31,$13910.85,$3212.30
781-83-1009,Dabjam,Colombia,2012,Comercio,210,$6312.50,$1150.68
253-80-7894,Yoveo,Argentina,2012,,68,$7674.61,$1701.08
469-69-1064,Blogtag,Argentina,2002,Comercio,167,$9889.91,$2724.07
749-14-5002,Shufflebeat,Argentina,2005,Transporte,227,$6542.13,$2840.11
155-31-0810,Riffpath,Argentina,2008,Medicina,143,$15002.10,$2452.59
276-28-0677,LiveZ,Argentina,2011,Entretenimiento,103,$15120.05,$1872.35
458-79-3714,Quinu,Colombia,2011,Otros,285,$7747.04,$1491.71
621-25-3721,Quire,Argentina,2001,Medicina,253,$10155.11,$3987.67
465-96-8201,Agivu,Argentina,2002,Tecnologia,53,$19432.40,$3037.39
541-63-4558,Buzzster,Argentina,2015,Medicina,56,$19716.29,$1042.29
549-26-9875,Dabtype,Chile,2012,Entretenimiento,176,$6582.93,$1334.53
369-56-9277,Meejo,Argentina,2004,Energia,146,$12877.14,$2206.64
800-09-0519,Feedbug,Colombia,2003,Finanzas,136,$19832.22,$3724.89
711-41-3441,Mybuzz,Colombia,2015,Medicina,48,$8665.24,$3926.00
612-42-4811,Skajo,Colombia,2014,Energia,145,$8631.07,$1612.75
391-37-8631,Quimm,Bolivia,2013,Construccion,205,$11769.89,$2150.32
135-17-0430,Cogibox,Colombia,2007,,278,$7755.28,$2764.82
521-57-4874,Avamm,Argentina,2007,Otros,243,$15405.20,$1296.54
626-52-4643,Zazio,Colombia,2011,Finanzas,214,$9598.64,$1230.01
381-73-4722,Riffpath,Chile,2001,Tecnologia,194,$15672.44,$1280.47
324-21-5063,Skinte,Colombia,2005,Entretenimiento,78,$16135.06,$3379.79
758-79-0303,Yata,Colombia,2011,Otros,245,$16569.71,$3276.84
615-68-8318,Wikivu,Colombia,2004,Transporte,114,$13795.95,$2614.59
457-19-5274,Tazz,Colombia,2015,Finanzas,248,$5947.98,$3109.32
548-36-6203,,Uruguay,2006,Comercio,221,$9353.09,$1616.25
870-20-2723,Quinu,Colombia,2001,Otros,88,$10530.13,$1398.78
804-15-6312,Trilia,Uruguay,2014,Tecnologia,159,$9733.35,$3456.27
172-80-1074,Lajo,Colombia,2008,Transporte,56,$17728.69,$1612.31
569-75-2965,Kwimbee,Argentina,2013,,277,$7329.19,$2116.71
508-43-3600,Npath,Colombia,2010,Finanzas,248,$8896.65,$3271.65
787-59-7800,Kimia,Colombia,2008,Energia,257,$9231.58,$3057.63
415-24-4446,Topicshots,Argentina,2012,Medicina,59,$12197.22,$3844.03
689-57-5029,Trupe,Chile,2009,Finanzas,171,$6323.64,$1685.80
147-52-0257,Npath,Chile,2011,Construccion,142,$7085.66,$1753.13
378-88-1188,Oyondu,Argentina,2009,Construccion,27,$13637.65,$1363.43
658-29-7388,Fanoodle,Argentina,2002,Tecnologia,197,$17273.88,$3599.85
634-02-5753,Yata,Chile,2003,Otros,133,$5769.23,$3140.38
606-62-9684,Twitterworks,Colombia,2007,Construccion,249,$15756.99,$2095.60
259-42-6036,Minyx,Colombia,2003,Energia,48,$10782.76,$3104.24
553-37-3123,Flipopia,Uruguay,2006,Energia,262,$11887.48,$3933.42
834-73-3945,Tagopia,Colombia,2013,,199,$10134.90,$1587.64
170-70-8427,Thoughtmix,Argentina,2009,Construccion,297,$11118.15,$2504.08
,Brainsphere,,2009,Transporte,116,$15008.64,$2969.38
884-94-9812,Yodel,Argentina,2006,Finanzas,263,$5137.69,$3387.06
156-21-5863,Cogilith,Colombia,2013,Comunicaciones,126,$17647.69,$1621.00
258-33-0687,Feedfish,Chile,2012,Finanzas,76,$14371.69,$2838.27
800-42-7588,Mybuzz,Colombia,2012,Comercio,39,$19631.76,$2041.40
797-76-8731,Flipbug,Argentina,2006,Energia,195,$14103.87,$3394.95
852-24-9474,Yadel,Colombia,2004,Otros,282,$15204.98,$2231.38
407-49-7008,Flipbug,Colombia,2014,Construccion,179,$14566.77,$3266.98
439-81-2652,Zoozzy,Colombia,2005,Otros,150,$14498.48,$2634.23
569-93-6626,Browsebug,Colombia,2001,Comunicaciones,152,$14173.66,$3082.18
476-22-5415,Trilith,Argentina,2006,Entretenimiento,201,$16309.96,$2147.89
621-97-3243,Chatterbridge,Colombia,2011,Energia,85,$14791.29,$1237.96
250-03-4095,Jatri,Argentina,2013,Comercio,270,$5986.97,$1022.79
190-70-5634,Yambee,Colombia,2002,Otros,158,$7073.57,$3901.50
758-72-7356,Blognation,Colombia,2001,Energia,54,$13456.42,$3422.36
,Wikivu,,2010,Finanzas,87,$12418.39,$1397.37
804-37-7347,Blogspan,Colombia,2005,Transporte,80,$19660.33,$1134.87
804-93-7581,Blogspan,Chile,2002,Otros,274,$9089.26,$3890.61
133-15-9243,Realcube,Chile,2009,Comunicaciones,195,$13818.12,$3011.29
445-91-9145,Realmix,Argentina,2014,Comercio,202,$10378.74,$1397.60
