Titulo,Genero,original_language,Productora,Pais de produccion,Lanzamiento,Presupuesto,Ganancias
The Tree of Life,Drama-Fantasy,en,Fox Searchlight Pictures,United States of America,2011,$32000000,$54674226.0
It Came from Hollywood,,en,Paramount Pictures,United States of America,1982,$5000000,$2091037.0
Kinda Funny Live 2,Comedy,en,Rooster Teeth,United States of America,2017,$100000,$20000.0
Daddy's Home,Comedy,en,Paramount Pictures,United States of America,2015,$50000000,$242786137.0
Forever Fever,Comedy-Music-Romance-Foreign,en,TigerTiger Productions,Singapore,1998,$1070000,$570000.0
In the Name of the Father,Drama,en,Universal Pictures,United Kingdom,1993,$13000000,$65796862.0
Saw,Horror-Mystery-Crime,en,Lions Gate Films,United States of America,2004,$1200000,$103911669.0
Capone,Crime-Drama,en,Santa Fe Productions (I),United States of America,1975,$970000,$2000000.0
Furious 7,Action,en,Universal Pictures,Japan,2015,$190000000,$1506249360.0
House at the End of the Street,Horror-Thriller,en,A Bigger Boat,United States of America,2012,$6900000,$44287131.0
Living in Oblivion,Drama-Comedy,en,JDI productions,United States of America,1995,$500000,$1148752.0
Pet Sematary,Drama-Horror,en,Paramount Pictures,United States of America,1989,$11500000,$57469467.0
Stardust,Adventure-Fantasy-Romance-Family,en,Paramount Pictures,Iceland,2007,$70000000,$135560026.0
Dark Blue,Action-Crime-Drama-Thriller,en,United Artists,Germany,2002,$15000000,$9237470.0
Blackhat,Crime-Drama-Mystery,en,Universal Pictures,United States of America,2015,$70000000,$17752940.0
Pinocchio,Comedy-Family-Fantasy,it,Miramax Films,Italy,2002,$40000000,$41323171.0
The King and I,Drama-Music-Romance,en,Twentieth Century Fox Film Corporation,United States of America,1956,$4550000,$21300000.0
Goya's Ghosts,Drama,en,Kanzaman,Spain,2006,$50000000,$9448082.0
Cool as Ice,Drama-Action-Comedy-Music-Romance,en,Universal Pictures,United States of America,1991,$6000000,$1193062.0
The Spy Next Door,Action-Comedy-Family,en,Robert Simonds Productions,United States of America,2010,$28000000,$45236543.0
Pete's Dragon,Adventure-Family-Fantasy,en,Walt Disney Pictures,United States of America,2016,$65000000,$143695338.0
School for Scoundrels,Comedy-Drama-Romance,en,Dimension Films,United States of America,2006,$20000000,$17807569.0
Next Friday,Comedy,en,New Line Cinema,United States of America,2000,$11000000,$59827328.0
Gigli,Drama,en,City Light Films,United States of America,2003,$54000000,$7266209.0
Escape Plan,Action-Thriller,en,Summit Entertainment,United States of America,2013,$50000000,$122915111.0
The Money Pit,Comedy-Romance,en,Universal Pictures,United States of America,1986,$10000000,$54999651.0
I Am Number Four,Action-Thriller-Science Fiction-Adventure,en,DreamWorks SKG,United States of America,2011,$50000000,$144492830.0
Percy Jackson & the Olympians- The Lightning Thief,Adventure-Fantasy-Family,en,Ingenious Film Partners,Canada,2010,$95000000,$226497209.0
Cooley High,Comedy-Drama,en,American International Pictures (AIP),United States of America,1975,$750000,$13000000.0
Elle,Drama-Thriller,fr,France 2 Cinema,Belgium,2016,$9804690,$1017138.0
Oz- The Great and Powerful,Fantasy-Adventure-Family,en,Walt Disney Pictures,United States of America,2013,$200000000,$491868548.0
The Specialist,Action-Thriller,en,Jerry Weintraub Productions,Peru,1994,$45000000,$170362582.0
The Great Outdoors,Comedy,en,Universal Pictures,United States of America,1988,$24000000,$43455230.0
The Gambler,Thriller-Crime-Drama,en,Paramount Pictures,United States of America,2014,$25000000,$39171130.0
Red Dragon,Crime-Thriller-Horror,en,Universal Pictures,Germany,2002,$78000000,$209196298.0
Yo tengo un corazon que quiere hundir mi cuerpo en los mares de ilusion,Drama-Thriller,en,none,Spain,2005,$18500,$6200.0
Drowning Mona,Comedy-Crime-Mystery,en,Code Entertainment,United States of America,2000,$16000000,$15427192.0
Crocodile Dundee in Los Angeles,Adventure-Comedy,en,Bungalow Productions,Australia,2001,$21150000,$39438674.0
A Family On Edge,Adventure-Crime-Drama-Family-Romance-Thriller,en,Cinesational Films,United States of America,2015,$100000,$200.0
Sweet Journey,Adventure-Drama-Foreign-History,en,Pearl River Film Company,China,2011,$1000000,$10000000.0
Barbershop,,en,Metro-Goldwyn-Mayer (MGM),United States of America,2002,$12000000,$75781642.0
The Waterboy,Comedy,en,Touchstone Pictures,United States of America,1998,$23000000,$185991646.0
Robinson Crusoe,Adventure-Animation-Comedy-Family,de,StudioCanal,Belgium,2016,$13500000,$3342697.0
The Guardian,Action,en,Contrafilm,United States of America,2006,$70000000,$55011732.0
Blood Feast,Horror,en,Friedman-Lewis Productions,United States of America,1963,$24500,$4000000.0
