Titulo,Genero,original_language,Productora,Pais de produccion,Lanzamiento,Presupuesto,Ganancias
Badlapur,Crime-Mystery-Thriller,hi,Illuminati Films,India,2015,$3700000,$11480000.0
Get Him to the Greek,Comedy,en,,United States of America,2010,$40000000,$90029656.0
New Perfect Two,Drama-Family,zh,none,Taiwan,2012,$8456800,$5750000.0
Thelma & Louise,Drama-Thriller-Crime-Adventure,en,Metro-Goldwyn-Mayer (MGM),United States of America,1991,$16000000,$45361000.0
Hitch,Comedy-Drama-Romance,en,Columbia Pictures Corporation,United States of America,2005,$70000000,$368100420.0
Raaz- The Mystery Continues...,Horror-Foreign,hi,Vishesh Films,India,2009,$6250000,$8000000.0
Bugsy,Drama-Crime,en,TriStar Pictures,United States of America,1991,$30000000,$49114016.0
A Beautiful Mind,Drama-Romance,en,Imagine Entertainment,United States of America,2001,$60000000,$313542341.0
102 Dalmatians,Comedy-Family,en,Walt Disney Pictures,United States of America,2000,$85000000,$183611771.0
Beautiful Creatures,Fantasy-Drama-Romance,en,Alcon Entertainment,United States of America,2013,$60000000,$60052138.0
The Rance Allen Group- Front Row Live,Music,en,Tyscot Records,United States of America,2007,$100000,$250000.0
Saw- The Final Chapter,Horror-Crime,en,Lionsgate,Canada,2010,$20000000,$136150434.0
Layer Cake,Drama-Thriller-Crime,en,Sony Pictures Classics,United Kingdom,2004,$6500000,$11850214.0
Far from Heaven,Drama-Romance,en,Clear Blue Sky Productions,United States of America,2002,$13500000,$29027914.0
The Gallows,Horror-Thriller,en,New Line Cinema,United States of America,2015,$100000,$42664410.0
Ca$h,Crime-Thriller-Comedy,en,Immortal Thoughts,United States of America,2010,$7000000,$46488.0
Space Cowboys,Action-Adventure-Thriller,en,Village Roadshow Pictures,United States of America,2000,$65000000,$128884132.0
Biker Boyz,Action-Drama,en,DreamWorks Pictures,United States of America,2003,$24000000,$23510601.0
Without a Paddle,Action-Adventure-Comedy-Thriller,en,Paramount Pictures,United States of America,2004,$19000000,$69631118.0
After Hours,Comedy-Thriller-Drama,en,Double Play,United States of America,1985,$4500000,$10609321.0
First Snow,Drama-Thriller,en,Yari Film Group,Germany,2006,$8000000,$382267.0
Bodies Rest & Motion,Drama-Romance,en,Fine Line Features,United States of America,1993,$2500000,$764083.0
Our Brand Is Crisis,Drama-Comedy,en,Participant Media,United States of America,2015,$28000000,$7002261.0
She Hate Me,Comedy-Drama,en,40 Acres & A Mule Filmworks,United States of America,2004,$8000000,$365134.0
The Rocketeer,Action-Adventure-Science Fiction-Family,en,Walt Disney Pictures,United States of America,1991,$42000000,$62000000.0
3 Days to Kill,Action-Drama-Thriller-Crime,en,Wonderland Sound and Vision,France,2014,$28000000,$52597999.0
