Titulo,Genero,original_language,Productora,Pais de produccion,Lanzamiento,Presupuesto,Ganancias
Perfume- The Story of a Murderer,Crime-Fantasy-Drama,en,Davis-Films,,2006,$50000000,$132180323.0
You Again,Comedy-Romance,en,Oops Doughnuts Productions,United States of America,2010,$20000000,$32005248.0
Snitch,Thriller-Drama,en,Front Street Productions,United States of America,2013,$35000000,$42930462.0
Jonah Hex,Action-Western-Drama-Fantasy-Thriller,en,Warner Bros.,United States of America,2010,$47000000,$10539000.0
The Good the Bad and the Ugly,Western,it,United Artists,United States of America,1966,$1200000,$6000000.0
Step Brothers,Comedy,en,Columbia Pictures,United States of America,2008,$65000000,$128107642.0
Blue Velvet,Crime-Drama-Mystery-Thriller,en,De Laurentiis Entertainment Group (DEG),United States of America,1986,$6000000,$8551228.0
Happy Feet Two,Animation-Comedy-Family,en,Village Roadshow Pictures,Australia,2011,$130000000,$150406466.0
Mars Attacks,Comedy-Fantasy-Science Fiction,en,Tim Burton Productions,United States of America,1996,$70000000,$101371017.0
Vipin and Rosh Wedding,Adventure,en,J.D MAX,India,2012,$100000,$100000.0
Conan the Barbarian,Adventure-Fantasy-Action,en,Universal Pictures,United States of America,1982,$20000000,$79114085.0
Secret Window,Thriller-Mystery,en,Columbia Pictures Corporation,United States of America,2004,$40000000,$92913171.0
Before the Fall,Drama,de,Constantin Film,Germany,2004,$4500000,$3764219.0
Citizen Kane,Mystery-Drama,en,RKO Radio Pictures,United States of America,1941,$839727,$23217674.0
Ed Wood,Comedy-Drama-History,en,Touchstone Pictures,United States of America,1994,$18000000,$5887457.0
The City of Lost Children,Fantasy-Science Fiction-Adventure,fr,Procirep,France,1995,$18000000,$1738611.0
Margin Call,Thriller-Drama,en,Benaroya Pictures,United States of America,2011,$3500000,$19504039.0
The Wolf of Wall Street,Crime-Drama-Comedy,en,Paramount Pictures,United States of America,2013,$100000000,$392000694.0
Women on the Verge of a Nervous Breakdown,Comedy-Drama,es,El Deseo,Spain,1988,$700000,$7179298.0
Tumbleweeds,Comedy-Drama,en,Fine Line Features,United States of America,1999,$312000,$1281176.0
Tracers,Action-Crime-Drama,en,Temple Hill Entertainment,United States of America,2015,$11000000,$593683.0
Silent Hill,Horror-Mystery,en,Silent Hill DCP Inc.,Canada,2006,$50000000,$97607453.0
Like Crazy,Drama-Romance,en,Paramount Vantage,United States of America,2011,$250000,$3542353.0
Edge of Tomorrow,Action-Science Fiction,en,Village Roadshow Pictures,Australia,2014,$178000000,$370541256.0
Kong- Skull Island,Action-Adventure-Fantasy,en,Legendary Pictures,United States of America,2017,$190000000,$565151307.0
Trumbo,Drama,en,Groundswell Productions,United States of America,2015,$15000000,$8235661.0
Baby Geniuses,Science Fiction-Comedy-Family,en,TriStar Pictures,United States of America,1999,$12000000,$36450736.0
The Butterfly Effect,Science Fiction-Thriller,en,New Line Cinema,Canada,2004,$13000000,$96060858.0
Seraphim Falls,Western-Drama,en,Icon Productions,United States of America,2006,$18000000,$1196307.0
Alien³,Science Fiction-Action-Horror,en,Twentieth Century Fox Film Corporation,United Kingdom,1992,$50000000,$159773545.0
Collateral Beauty,Drama-Romance,en,New Line Cinema,United States of America,2016,$36000000,$87416021.0
Clouds of Sils Maria,Drama,en,Pallas Film,Germany,2014,$6600000,$1851517.0
The Romantics,Comedy-Drama-Romance,en,10th Hole Productions,United States of America,2010,$4500000,$123820.0
Ocean's Thirteen,Crime-Thriller,en,Village Roadshow Pictures,United States of America,2007,$85000000,$311312624.0
Little Big Man,Adventure-Western-History,en,Cinema Center Films,United States of America,1970,$15000000,$31559552.0
Borat- Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy,en,Twentieth Century Fox Film Corporation,United States of America,2006,$18000000,$261572744.0
Cheaper by the Dozen,Comedy-Drama-Family,en,Twentieth Century Fox Film Corporation,United States of America,2003,$40000000,$190212113.0
Solaris,Drama-Science Fiction-Mystery-Romance,en,Twentieth Century Fox Film Corporation,United States of America,2002,$47000000,$30002758.0
Undisputed,Action-Adventure-Drama-Thriller,en,Miramax Films,United States of America,2002,$20000000,$12398628.0
All the time in the World,Comedy-Drama-Romance,nl,NL Film,Netherlands,2011,$2000000,$676045.0
Home Alone 3,Comedy-Family,en,Twentieth Century Fox Film Corporation,United States of America,1997,$32000000,$79082515.0
Homefront,Action-Thriller,en,Millennium Films,United States of America,2013,$22000000,$43058898.0
Rocky,Drama,en,United Artists,United States of America,1976,$1000000,$117235147.0
