Titulo,Genero,original_language,Productora,Pais de produccion,Lanzamiento,Presupuesto,Ganancias
The Infiltrator,Crime-Drama-Thriller,en,Good Films,United Kingdom,2016,$25000000,$15436808.0
Riddick,Science Fiction-Action-Thriller,,One Race Productions,United States of America,2013,$38000000,$98337295.0
Pranchiyettan & The Saint,Comedy-Family,ml,Capitol Theater,India,2010,$385320,$1120000.0
The Angry Birds Movie,Animation,en,Columbia Pictures,Finland,2016,$73000000,$349779543.0
The Adventures of Rocky & Bullwinkle,Adventure-Animation-Action-Comedy-Family,en,Universal Pictures,Germany,2000,$76000000,$35134820.0
Metropolis,Drama-Science Fiction,de,Paramount Pictures,Germany,1927,$92620000,$650422.0
Mrs. Brown's Boys D'Movie,Comedy,en,BBC Films,Ireland,2014,$5900000,$23000000.0
The Blair Witch Project,Horror-Mystery,en,Artisan Entertainment,United States of America,1999,$60000,$248000000.0
Dragonfly,Drama,en,Universal Pictures,Germany,2002,$60000000,$52322400.0
Legend of the Lost,Adventure-Drama,en,United Artists,Italy,1957,$1750000,$2200000.0
Kinda Funny Live 2,Comedy,en,Rooster Teeth,United States of America,2017,$100000,$20000.0
Sultan,Drama-Action,hi,Yash Raj Films,India,2016,$10400000,$102000000.0
Confidential Assignment,Action-Drama-Comedy,ko,CJ Entertainment,South Korea,2017,$8520000,$56100000.0
Risky Business,Comedy-Romance,en,Geffen Company,United States of America,1983,$6200000,$63541777.0
Predestination,Science Fiction-Thriller,en,Screen Australia,Australia,2014,$5500000,$3000000.0
Emme Fahu Vindhaa Jehendhen,Drama-Romance,dv,Dark Rain Entertainment,Maldives,2015,$32500,$35000.0
Star,Romance-Drama-Music,en,Twentieth Century Fox Film Corporation,United States of America,1968,$14320000,$14000000.0
The Great Gatsby,Drama-Romance,en,Paramount Pictures,United States of America,1974,$6500000,$26533200.0
Fargo,Crime-Drama-Thriller,en,PolyGram Filmed Entertainment,United States of America,1996,$7000000,$60611975.0
The Preacher's Wife,Fantasy-Drama-Comedy-Science Fiction-Romance-Family,en,Touchstone Pictures,United States of America,1996,$40000000,$48093211.0
Human Traffic,Comedy-Drama,en,Irish Screen,United Kingdom,1999,$600000,$4000000.0
Bandidas,Action-Comedy-Western-Crime,es,Ultra Films,United States of America,2006,$35000000,$10496317.0
Maleficent,Fantasy-Adventure-Action-Family-Romance,en,Walt Disney Pictures,United States of America,2014,$180000000,$758539785.0
Final Destination 3,Horror-Mystery,en,New Line Cinema,Canada,2006,$25000000,$117719158.0
Kick-Ass 2,Action-Adventure-Crime,en,Universal Pictures,United States of America,2013,$28000000,$60700000.0
Rango,Animation-Comedy-Family-Western-Adventure,en,Paramount Pictures,United States of America,2011,$135000000,$245724603.0
Morgan,Horror-Science Fiction-Thriller,en,Twentieth Century-Fox,United States of America,2016,$8000000,$8810591.0
The Fall of the Roman Empire,Drama-History,en,Paramount Pictures,United States of America,1964,$19000000,$4750000.0
Contraband,Thriller-Action-Drama-Crime,en,Universal Pictures,United States of America,2012,$25000000,$63100000.0
Jennifer Eight,Crime-Drama-Mystery,en,Paramount Pictures,United States of America,1992,$20000000,$11390479.0
The Ghost Writer,Thriller-Mystery,en,Studio Babelsberg,Germany,2010,$45000000,$60222298.0
You've Got Mail,Comedy-Romance,en,Warner Bros.,United States of America,1998,$65000000,$250821495.0
Hotel California,Comedy-Drama-Thriller,ml,Jairaj Release,India,2013,$858572,$382454.0
